,tconst,primaryTitle,startYear,genres,directors,cast,averageRating,numVotes,main_dir,dirname
238894,tt2360310,The Obscure Spring,2014,Drama,nm0176496,"['nm0946962', 'nm0840762', 'nm0044430', 'nm5467533', 'nm2993417']",6.1,897,nm0176496,Ernesto Contreras
137592,tt0381936,Bummer,2003,"Crime,Drama",nm1458108,"['nm1284690', 'nm1459463', 'nm0465273', 'nm1330495', 'nm1166664']",7.1,8057,nm1458108,Pyotr Buslov
206096,tt1555064,Country Strong,2010,"Drama,Music",nm0275277,"['nm1330560', 'nm0000569', 'nm1015262', 'nm0005210', 'nm3774836']",6.3,19098,nm0275277,Shana Feste
227810,tt20874898,"Rodolfo - Vigyázat, csalok!",2022,Documentary,"nm2786613,nm13737056","['nm8337873', 'nm3646734', 'nm3582716']",6.7,11,nm2786613,Dávid Géczy
171763,tt1107346,Juhani on kuumeessa,1985,Comedy,"nm0290435,nm0434654","['nm0617347', 'nm0088993', 'nm0864247', 'nm0514382', 'nm0815252']",7.0,8,nm0290435,Kari Franck
124866,tt0316473,The Real Deal,2002,"Drama,Romance,Thriller",nm0123325,"['nm0000969', 'nm0718647', 'nm0000838', 'nm0004904', 'nm0541908']",4.6,152,nm0123325,Tom Burruss
216896,tt1783339,Lotto,2010,"Drama,Fantasy,Mystery",nm0751643,"['nm2350810', 'nm2964577', 'nm3601503', 'nm3403579', 'nm2563403']",5.0,23,nm0751643,Jerry Russo
113913,tt0271479,Ee Sabdam Innathe Sabdam,1985,"Action,Crime,Drama",nm0899794,"['nm0007123', 'nm0811794', 'nm0737513', 'nm0707490', 'nm1066795']",7.3,50,nm0899794,P.G. Viswambharan
145851,tt0436435,Into the Air: A Kiteboarding Experience,2005,Documentary,"nm1785653,nm1327673,nm1783720","['nm1143255', 'nm2098173', 'nm2094138', 'nm2094130', 'nm2101244']",8.5,11,nm1785653,Rachel Janowicz
294147,tt6237612,Accident Man,2018,"Action,Adventure,Comedy",nm0425364,"['nm0012078', 'nm0829032', 'nm0001601', 'nm0925220', 'nm2230865']",6.2,13736,nm0425364,Jesse V. Johnson
21459,tt0046358,The Square Ring,1953,"Drama,Sport",nm0213136,"['nm0912487', 'nm0064235', 'nm0654089', 'nm0715582', 'nm0741394']",6.5,317,nm0213136,Basil Dearden
188133,tt13273728,Colors of Love,2021,"Drama,Romance",nm0909568,"['nm2057726', 'nm0614877', 'nm5006946', 'nm0114276', 'nm0121721']",5.6,3026,nm0909568,Bradley Walsh
132608,tt0355977,Iron Ladies 2,2003,"Comedy,Sport",nm0861129,"['nm1492035', 'nm0071375', 'nm1202251', 'nm1492366', 'nm0393293']",5.1,272,nm0861129,Yongyoot Thongkongtoon
254435,tt29485262,My Bloody Galentine,2024,Thriller,nm3490382,"['nm5947964', 'nm7581510', 'nm10941588', 'nm3840856', 'nm9433074']",6.2,93,nm3490382,Traci Hays
162629,tt0988595,27 Dresses,2008,"Comedy,Romance",nm0281945,"['nm0001337', 'nm0005188', 'nm0015196', 'nm0450116', 'nm2724665']",6.1,177615,nm0281945,Anne Fletcher
197418,tt14425562,Ush El Bulbul,2013,Comedy,nm6166954,"['nm4517985', 'nm12476082', 'nm7627618', 'nm6460991', 'nm4276608']",3.9,20,nm6166954,Husam El-Gohari
107326,tt0247556,The Quiet Swimmer,1998,Drama,nm0748886,"['nm0823435', 'nm1009178', 'nm1007736', 'nm1007882', 'nm1007909']",7.0,15,nm0748886,Fernán Rudnik
53668,tt0091414,Lily Tomlin,1986,Documentary,"nm0112374,nm0161443",['nm0275443'],6.7,146,nm0112374,Nick Broomfield
233713,tt2215537,We Are So Young,2013,"Biography,Drama,Music",nm0196115,"['nm1796903', 'nm1597520', 'nm0868577', 'nm3623789', 'nm0181613']",6.5,2464,nm0196115,Antonio Carlos da Fontoura
276014,tt4440488,Behind the Clouds,2016,Drama,nm3204725,"['nm0518574', 'nm0210313', 'nm0893637', 'nm4794061', 'nm0264191']",6.4,413,nm3204725,Cecilia Verheyden
174763,tt11448076,Cliff Walkers,2021,"Crime,Drama,Thriller","nm15069738,nm0955443","['nm3388842', 'nm3589263', 'nm0702656', 'nm11654704', 'nm3301868']",6.5,3129,nm15069738,Zhuang Jieqiong
14966,tt0036972,Johnny Doesn't Live Here Anymore,1944,"Comedy,Romance,War",nm0562004,"['nm0800386', 'nm0255199', 'nm0856096', 'nm0326809', 'nm0151334']",5.6,304,nm0562004,Joe May
251788,tt2848296,En perfekt film,2014,Drama,nm5632219,"['nm5165932', 'nm5360788', 'nm3948439', 'nm5632268', 'nm5967366']",7.8,11,nm5632219,Patrik Witkowsky
87040,tt0173860,Forty Acre Feud,1965,Comedy,nm0650259,"['nm0403910', 'nm0669080', 'nm0716186', 'nm0850590', 'nm0179962']",5.5,70,nm0650259,Ron Ormond
174090,tt11362496,Beneath the Shadow,2019,Drama,nm3311094,"['nm1687017', 'nm5407381', 'nm0475165', 'nm0559430', 'nm0619188']",6.2,243,nm3311094,Keishi Otomo
248612,tt27513039,Pattaya Heat,2024,"Crime,Thriller",nm3632031,"['nm0263594', 'nm8734833', 'nm1559966', 'nm1428198', 'nm8649220']",5.7,200,nm3632031,Shupeng Yang
62615,tt0104880,Miracle in the Wilderness,1991,"Adventure,Drama,Romance",nm0229914,"['nm0001434', 'nm0000326', 'nm0426665', 'nm0862079', 'nm0646812']",5.9,235,nm0229914,Kevin James Dobson
248877,tt27578157,Colors of Evil: Red,2024,"Crime,Drama,Mystery",nm3423765,"['nm3617350', 'nm0652292', 'nm11219070', 'nm1293137', 'nm1669753']",6.4,6904,nm3423765,Adrian Panek
70236,tt0117800,Sweet Dreams,1996,"Drama,Mystery",nm0070474,"['nm0005485', 'nm0553436', 'nm0628392', 'nm0001865', 'nm0004916']",5.8,615,nm0070474,Jack Bender
69226,tt0116281,Far Harbor,1996,Drama,nm0399655,"['nm0041029', 'nm0000124', 'nm0001246', 'nm0001315', 'nm0491054']",4.6,465,nm0399655,John Huddles
297964,tt6690218,Khancha,2013,Drama,nm1204164,"['nm1383799', 'nm3368782', 'nm1548951', 'nm15575150', 'nm2533609']",6.0,27,nm1204164,Raja Sen
230123,tt21344672,Sam's World,2024,Drama,nm13869223,"['nm13869223', 'nm10739591', 'nm13869225', 'nm15754184', 'nm13869228']",7.7,14,nm13869223,Lily Lady
37605,tt0068654,Count Dracula's Great Love,1973,Horror,nm0013706,"['nm0596701', 'nm0946184', 'nm0689248', 'nm0589019', 'nm0304999']",5.2,1242,nm0013706,Javier Aguirre
67198,tt0112749,"Cry, the Beloved Country",1995,"Drama,Thriller",nm0740213,"['nm0001321', 'nm0000469', 'nm0475100', 'nm0001165', 'nm0917037']",6.8,2081,nm0740213,Darrell Roodt
111831,tt0263313,"Good Bye, My Lover",1965,"Drama,Romance",nm0781261,"['nm0814734', 'nm0402113', 'nm0348029', 'nm0767945', 'nm0856194']",6.2,51,nm0781261,Osman F. Seden
54788,tt0093062,Funny Boy,1987,"Comedy,Drama",nm0494385,"['nm0495994', 'nm0537865', 'nm1579097', 'nm0109762', 'nm0435726']",4.5,62,nm0494385,Christian Le Hémonet
131250,tt0349613,Incognito,1989,\N,nm0073935,"['nm0231319', 'nm0069711', 'nm0064731', 'nm0012734', 'nm0494571']",3.9,11,nm0073935,Alain Bergala
189349,tt1339339,One Night Only,2008,Comedy,nm0419494,"['nm1715384', 'nm1218415', 'nm0202516', 'nm2039043', 'nm3521523']",6.6,33,nm0419494,Jose Javier Reyes
264170,tt3390560,Top Secret: Plant 42,2012,Documentary,nm1718207,['nm3359582'],4.7,9,nm1718207,Joe Venafro
34981,tt0065041,A Strange Romance,1968,\N,nm0540295,"['nm0423826', 'nm0692611', 'nm0724817', 'nm0421622', 'nm0676918']",6.9,13,nm0540295,Nils Malmros
7945,tt0026631,Liselotte von der Pfalz,1935,"Drama,History",nm0296193,"['nm0618286', 'nm0460337', 'nm0469291', 'nm0217848', 'nm0654880']",7.2,24,nm0296193,Carl Froelich
110724,tt0259878,The Barber of Seville,1981,"Comedy,Music",nm0372737,"['nm0263987', 'nm0712688', 'nm0181998', 'nm0221111', 'nm0566370']",7.8,31,nm0372737,Dave Heather
155481,tt0781338,El crimen de una novia,2006,Documentary,nm0346216,"['nm1659972', 'nm0098710', 'nm0744691']",5.4,11,nm0346216,Lola Guerrero
17870,tt0041183,Black Midnight,1949,"Drama,Western",nm0091430,"['nm0001522', 'nm0641035', 'nm0859183', 'nm0335510', 'nm0428160']",6.2,102,nm0091430,Budd Boetticher
313090,tt8924916,Jonbai,2005,"Drama,Musical,Romance",nm9724920,"['nm9901547', 'nm2836612', 'nm2940796', 'nm8669558', 'nm8669566']",8.6,29,nm9724920,Rajesh Bhuyan
206203,tt15560350,Perras de barrio 3,2018,Drama,nm4930203,"['nm0032843', 'nm0866895', 'nm5067573', 'nm8731514', 'nm0562509']",4.4,22,nm4930203,Óscar González
173983,tt1135487,Duplicity,2009,"Comedy,Crime,Romance",nm0006904,"['nm0000210', 'nm0654110', 'nm0929489', 'nm0316079', 'nm0197352']",6.1,52513,nm0006904,Tony Gilroy
80282,tt0147651,"Man, Woman and Beast",1977,Drama,nm0146873,"['nm0527787', 'nm0097803', 'nm0233612', 'nm0345388', 'nm0535682']",6.0,392,nm0146873,Alberto Cavallone
311798,tt8708304,I Trapped the Devil,2019,"Horror,Mystery,Thriller",nm6142823,"['nm1407651', 'nm1410105', 'nm2226741', 'nm5971246', 'nm0550269']",4.8,3309,nm6142823,Josh Lobo
263748,tt3349872,Spilt Blood,2015,"Fantasy,Horror,Sci-Fi",nm4114445,"['nm5274836', 'nm4023443', 'nm4386778', 'nm5463558', 'nm4741912']",6.4,14,nm4114445,Willy Adkins
100746,tt0218477,La nuit bulgare,1970,Drama,nm0593978,"['nm0900557', 'nm0889024', 'nm0305488', 'nm0673749', 'nm1220735']",5.1,11,nm0593978,Michel Mitrani
187077,tt13155074,"Klara Sonntag - Kleine Fische, große Fische",2021,Drama,nm0005628,"['nm1555320', 'nm1869349', 'nm0146153', 'nm0309404', 'nm0335832']",5.3,23,nm0005628,Oliver Schmitz
70569,tt0118581,Alien Avengers II,1997,"Comedy,Sci-Fi",nm0668292,"['nm0001841', 'nm0113935', 'nm0757155', 'nm0113271', 'nm0133882']",4.5,160,nm0668292,Dave Payne
268493,tt3720724,Requirements to Be a Normal Person,2015,"Comedy,Romance",nm1206701,"['nm1206701', 'nm1990571', 'nm0613284', 'nm6538237', 'nm3639136']",6.4,3027,nm1206701,Leticia Dolera
317215,tt9690818,Tag Team Truckers,2018,"Comedy,Drama,Family",nm3355396,"['nm8111706', 'nm7780354', 'nm0646968', 'nm7561406', 'nm3032416']",8.0,53,nm3355396,Jason Ancona
299251,tt6860128,Asino vola,2015,Family,"nm7535164,nm2140041","['nm0051880', 'nm0002029', 'nm7535164', 'nm2867176', 'nm0516222']",6.5,43,nm7535164,Marcello Fonte
109793,tt0256729,Don Giovanni,1995,"Drama,Music",nm0047230,"['nm0128000', 'nm0656351', 'nm0553974', 'nm0682113', 'nm0014709']",8.3,12,nm0047230,Derek Bailey
240121,tt2386175,A Dark Matter,2013,"Crime,Sci-Fi,Thriller",nm1423542,"['nm0110303', 'nm2857835', 'nm2715863', 'nm1538339', 'nm0866971']",4.8,70,nm1423542,James Naylor
184236,tt12794540,4 Days to Eternity,2022,"Drama,History,Romance","nm5343417,nm5343340","['nm6216987', 'nm6225875', 'nm0377333', 'nm0833735', 'nm4480626']",5.8,33,nm5343417,Konstantin Korenchuk
230743,tt2146206,Mar de Fondo,2012,Drama,nm1416704,"['nm5334894', 'nm0059639', 'nm0102751', 'nm0312121', 'nm0576662']",6.5,28,nm1416704,Raúl Quintanilla
54219,tt0092148,Vanishing Act,1986,Mystery,nm0338719,"['nm0268286', 'nm0452288', 'nm0001304', 'nm0419054', 'nm0001285']",7.1,662,nm0338719,David Greene
168227,tt10643926,The Storied Life of A.J. Fikry,2022,"Comedy,Drama",nm0134396,"['nm0376716', 'nm1423955', 'nm0004930', 'nm0000274', 'nm2471798']",6.6,2659,nm0134396,Hans Canosa
303732,tt7480724,Wild,2018,"Drama,Romance",nm0077533,"['nm8066528', 'nm2244706', 'nm5228863', 'nm4289197']",5.2,61,nm0077533,Dennis Berry
236556,tt2292705,Hackers Computer Outlaws,2001,Documentary,nm1497983,"['nm4916454', 'nm4980840', 'nm4981002', 'nm0514779']",7.6,100,nm1497983,Ralph Lee
173080,tt1124215,Queen Sized,2008,"Comedy,Drama",nm0505697,"['nm2284889', 'nm0001633', 'nm1972813', 'nm2204429', 'nm2636080']",4.6,1207,nm0505697,Peter Levin
35422,tt0065675,"Take Me, I'm Old Enough",1970,Drama,nm0603587,"['nm0186457', 'nm2332763', 'nm0210226', 'nm0214166', 'nm0537606']",5.3,40,nm0603587,Henri Xhonneux
180248,tt12219112,Heaven Beneath My Feet,2020,Documentary,nm2957271,"['nm11515235', 'nm11515236', 'nm3253007', 'nm11515237']",6.9,8,nm2957271,Sandra Madi
204207,tt15320066,ClearMind,2024,"Comedy,Mystery,Thriller",nm2398538,"['nm0187460', 'nm1252685', 'nm4434808', 'nm0362429', 'nm1835614']",4.1,2095,nm2398538,Rebecca Eskreis
124177,tt0313956,Debieron ahorcarlos antes,1974,"Action,Crime,Drama",nm0302201,"['nm0021718', 'nm0021728', 'nm0665651', 'nm0429860', 'nm0901808']",6.2,18,nm0302201,Rubén Galindo
181191,tt12354974,True North,2020,"Animation,Drama",nm3832545,"['nm5221906', 'nm1106056', 'nm7916384', 'nm1918257', 'nm4691386']",6.9,315,nm3832545,Eiji Han Shimizu
113365,tt0269168,Dreams Beyond Memory,1988,"Drama,Fantasy,Romance",nm1238306,"['nm0869548', 'nm0775076', 'nm0947508', 'nm0822379', 'nm0529237']",5.0,17,nm1238306,Andrzej Markiewicz
314840,tt9203354,As the Earth Turns,2019,"Sci-Fi,Thriller",nm0528032,"['nm0075257', 'nm10226356', 'nm10226357', 'nm0528032', 'nm10226358']",6.5,199,nm0528032,Richard Lyford
170782,tt1094656,Night of Foreigners,1975,Drama,"nm2580298,nm2761687","['nm0329598', 'nm2580298', 'nm2760758', 'nm2760006', 'nm1160050']",7.2,105,nm2580298,Farzan Deljou
186027,tt1303116,Tutenstein: Clash of the Pharaohs,2008,"Adventure,Animation,Family",nm0480349,"['nm0156068', 'nm2758241', 'nm0517087', 'nm0799937', 'nm0485670']",7.5,51,nm0480349,Rob LaDuca
225840,tt2033214,Blood Jungle ...or Eviva il Coltello!,2011,"Adventure,Comedy,Fantasy",nm1446016,"['nm2310368', 'nm1446016', 'nm4492304', 'nm1775623', 'nm1472486']",8.3,10,nm1446016,Thomas Nöla
111375,tt0261877,One Life Stand,2000,Drama,nm0587042,"['nm0139796', 'nm0452485', 'nm0507207', 'nm0482311', 'nm0650522']",4.6,123,nm0587042,May Miles Thomas
241196,tt2413524,The Law of the Swindler,2012,"Adventure,Comedy,History","nm5289485,nm3621993","['nm0062204', 'nm3599594', 'nm3622409', 'nm5257130', 'nm3120003']",7.0,13,nm5289485,Alex Schlenker
47488,tt0082452,A Girl's Best Friend,1981,"Adult,Comedy,Crime",nm0655230,"['nm0000753', 'nm0000465', 'nm0366573', 'nm0040173', 'nm0449404']",6.5,226,nm0655230,Henri Pachard
190037,tt13462472,The Young Lovers,2021,"Drama,Romance",nm0850366,"['nm0000272', 'nm0693799', 'nm0208426', 'nm0517975', 'nm2938901']",6.4,928,nm0850366,Carine Tardieu
94486,tt0195824,In Sarah's Eyes,1975,Adult,nm0345273,"['nm2807806', 'nm2193280', 'nm0249982', 'nm0089542', 'nm3893548']",5.3,22,nm0345273,Carter Stevens
83564,tt0161069,Vines of the Lord,1958,Comedy,nm0004454,"['nm0272794', 'nm0245240', 'nm0885506', 'nm0199281', 'nm0099336']",5.4,54,nm0004454,Jean Boyer
277026,tt4543548,Brasil S/A,2014,"Adventure,News",nm3486865,"['nm14762435', 'nm14762434', 'nm7747880', 'nm6000473', 'nm5836718']",6.8,70,nm3486865,Marcelo Pedroso
56323,tt0095300,Hifazat,1987,"Drama,Family",nm0707274,"['nm0006369', 'nm0638295', 'nm0438463', 'nm0002043', 'nm0082848']",5.0,182,nm0707274,Prayag Raj
123654,tt0311574,Nee Nanna Gellalare,1981,Musical,nm0897200,"['nm0004660', 'nm6222099', 'nm1154608', 'nm3183374', 'nm13643009']",8.4,55,nm0897200,Vijay
78295,tt0139504,The Notorious Elinor Lee,1940,Drama,nm0584778,"['nm1254158', 'nm0429149', 'nm0628403', 'nm0364657', 'nm1250807']",4.8,13,nm0584778,Oscar Micheaux
162165,tt0972859,Nõiakivi,1979,Family,nm1958010,"['nm2568034', 'nm0439374', 'nm1800434', 'nm2360762', 'nm1802280']",6.2,14,nm1958010,Uno Leies
209284,tt16078266,Rosh,2023,"Drama,Thriller",nm6853440,"['nm13804837', 'nm3002347', 'nm0386358', 'nm6151621', 'nm10865140']",5.1,67,nm6853440,Jayveer Panghaal
142893,tt0417229,Venky,2004,"Action,Comedy,Mystery","nm1626425,nm2022987","['nm0712433', 'nm0998044', 'nm0709359', 'nm2210188', 'nm1759549']",7.5,1079,nm1626425,Sreenu Vaitla
186988,tt13145178,Sneha Chakra,2017,Drama,nm11920730,"['nm7548559', 'nm11920731', 'nm11920732']",7.0,12,nm11920730,Manju Vishnuvardhan
138692,tt0388101,Hard Edge,1997,Action,nm0454537,"['nm0061054', 'nm0485474', 'nm0498495', 'nm0550789', 'nm0641524']",6.8,12,nm0454537,Caleb Lindsay
67957,tt0113933,Naaraaz,1994,"Action,Crime,Drama",nm0080315,"['nm0080324', 'nm0149822', 'nm0013158', 'nm0007114', 'nm1021129']",4.7,184,nm0080315,Mahesh Bhatt
154786,tt0762118,Moe,2023,"Comedy,Drama,Musical",nm0884452,"['nm0520199', 'nm0260803', 'nm0729060', 'nm0209336', 'nm0735404']",4.1,30,nm0884452,José Luis Valenzuela
127198,tt0327660,Lung do kei yuen,2005,"Action,Adventure,Animation",nm0844038,"['nm0596297', 'nm0943079', 'nm0298691', 'nm0510950', 'nm1167890']",5.0,486,nm0844038,Antony Szeto
9087,tt0028353,"Thank You, Jeeves!",1936,Comedy,nm0172151,"['nm0871546', 'nm0276065', 'nm0000057', 'nm0560091', 'nm0850029']",6.1,311,nm0172151,Arthur Greville Collins
235709,tt22688196,When My Sleeping Dragon Woke,2022,Documentary,"nm2500640,nm2451909","['nm14138776', 'nm14126280', 'nm0231458', 'nm14126282', 'nm1539000']",9.0,9,nm2500640,Judah-Lev Dickstein
48730,tt0084178,The Archer,1982,"Drama,Thriller",nm0440870,"['nm0374682', 'nm0512003', 'nm0255533', 'nm0710480', 'nm0481785']",6.3,83,nm0440870,Taavi Kassila
57563,tt0097170,Deadly Spygames,1989,"Comedy,Drama",nm0783257,"['nm0783257', 'nm0001148', 'nm0725068', 'nm0001335', 'nm0587169']",2.6,111,nm0783257,Jack M. Sell
104761,tt0237277,Golden Anniversary of Snow White and the Seven Dwarfs,1987,"Documentary,Family,Musical",nm0395776,"['nm0004852', 'nm0376200', 'nm0143314']",7.3,23,nm0395776,Louis J. Horvitz
141884,tt0410302,Marsh Turetskogo: Poslednyy marshal,2001,Crime,nm0876488,"['nm0231677', 'nm0947703', 'nm1487547', 'nm0901523']",3.5,14,nm0876488,Mikhail Tumanishvili
263986,tt3371366,Transformers: The Last Knight,2017,"Action,Adventure,Sci-Fi",nm0000881,"['nm0000242', 'nm0000164', 'nm0241049', 'nm2652095', 'nm1085051']",5.2,172262,nm0000881,Michael Bay
201287,tt1495793,Identitas,2009,Drama,"nm1238126,nm9219717","['nm1233777', 'nm3153174', 'nm1228805', 'nm2380227', 'nm2683695']",6.7,41,nm1238126,Aria Kusumadewa
196283,tt1429429,Coursier,2010,"Action,Comedy,Crime",nm0997841,"['nm0949210', 'nm1995246', 'nm1097515', 'nm0280955', 'nm2706850']",5.8,1808,nm0997841,Hervé Renoh
222139,tt1928104,Afrika ruft nach dir,2012,"Drama,Romance",nm0926801,"['nm0761395', 'nm0686768', 'nm0544749', 'nm0553326', 'nm5436427']",4.5,43,nm0926801,Karsten Wichniarz
90547,tt0183892,Armageddon,1997,"Action,Comedy,Fantasy",nm0150906,"['nm0490489', 'nm0718348', 'nm0938893', 'nm1361746', 'nm0463674']",4.6,326,nm0150906,Gordon Chan
7210,tt0025415,Decoy,1934,\N,nm0826094,"['nm0862816', 'nm0209142', 'nm0897173', 'nm0003248', 'nm0919323']",3.2,16,nm0826094,Hans Steinhoff
216773,tt1779076,The Jeffrey Dahmer Files,2012,"Biography,Crime,Documentary",nm2724671,"['nm1387582', 'nm5225425', 'nm1964407', 'nm0084207', 'nm0087870']",6.3,2151,nm2724671,Chris James Thompson
284519,tt5280118,Olympicos,2020,Animation,"nm5697565,nm6998425","['nm13216697', 'nm0017932', 'nm1616359', 'nm11920145', 'nm11920144']",7.1,87,nm5697565,David Sahakyants
89767,tt0181814,Shores of Twilight,1998,Drama,nm0369113,"['nm0406371', 'nm0660228', 'nm0693611', 'nm1459818', 'nm1460367']",6.8,73,nm0369113,Efthymis Hatzis
298502,tt6768578,Dogman,2018,"Crime,Drama,Thriller",nm0308520,"['nm7535164', 'nm3034455', 'nm1288493', 'nm2995860', 'nm0010271']",7.2,30291,nm0308520,Matteo Garrone
219093,tt1835891,Allide Nammane Ille Bande Summane,2011,Comedy,nm4306122,"['nm3121957', 'nm4307068', 'nm5726601', 'nm3837488', 'nm0475033']",7.5,13,nm4306122,Gopi Peenya
318065,tt9869228,Star Trek: Dark Horizon,2015,Sci-Fi,nm10517485,"['nm10517486', 'nm10517485', 'nm10517810', 'nm10517811', 'nm10517488']",4.8,9,nm10517485,Tom Jones
21190,tt0045995,Let's Do It Again,1953,"Comedy,Musical",nm0355284,"['nm0943837', 'nm0001537', 'nm0712731', 'nm0000748', 'nm0079379']",5.8,457,nm0355284,Alexander Hall
246154,tt26658567,Favorite Son Christmas,2023,Drama,nm0002101,"['nm0027092', 'nm2956469', 'nm1738086', 'nm9516941', 'nm2542744']",8.4,40,nm0002101,Robin Givens
7807,tt0026415,The Life of Giuseppe Verdi,1938,"Biography,Drama,History",nm0303120,"['nm0315984', 'nm0605851', 'nm0660035', 'nm0683647', 'nm0059706']",6.8,23,nm0303120,Carmine Gallone
128265,tt0333563,Three Evil Spirits,1985,Horror,nm1050026,"['nm0473928', 'nm1253226', 'nm1251802', 'nm1253826']",5.1,23,nm1050026,Ki-nam Nam
149666,tt0462376,Jungle Navy,2001,Documentary,nm0746800,"['nm0682211', 'nm0107555', 'nm0288230', 'nm1941116', 'nm0584206']",8.2,11,nm0746800,Christopher Rowley
188467,tt1331000,My New Partner,2008,"Action,Comedy",nm1276209,"['nm0014227', 'nm1641063', 'nm1040396', 'nm2437361', 'nm1135644']",7.2,100,nm1276209,Kim Jong-hyun
259255,tt3149038,A Brilliant Young Mind,2014,"Drama,Romance",nm2051728,"['nm2633535', 'nm1245863', 'nm1020089', 'nm0550371', 'nm1792549']",7.1,30521,nm2051728,Morgan Matthews
309993,tt8400716,Contessa,2018,"Action,Thriller",nm9831771,"['nm8837262', 'nm2573453', 'nm6976647', 'nm4584689', 'nm12705172']",5.2,28,nm9831771,Sudip E.S.
87640,tt0175616,The Magician,1968,Drama,nm0865421,"['nm0314210', 'nm0488200', 'nm0503095', 'nm0323659', 'nm0236254']",7.3,87,nm0865421,Pyotr Todorovskiy
156398,tt0805559,Jump in!,2007,"Comedy,Drama,Family",nm0388505,"['nm0088298', 'nm1551130', 'nm0718693', 'nm2215967', 'nm1879427']",5.4,8679,nm0388505,Paul Hoen
142367,tt0414261,Mano mazyte zmona,1984,"Drama,Romance",nm0052024,"['nm0466289', 'nm0049434', 'nm0200848', 'nm1119268', 'nm1688224']",7.5,181,nm0052024,Raimundas Banionis
22881,tt0048405,Männen i mörker,1955,Drama,nm0560489,"['nm0014351', 'nm0299827', 'nm0511409', 'nm0536408', 'nm0356317']",4.4,19,nm0560489,Arne Mattsson
14259,tt0035969,Happy Go Lucky,1943,"Comedy,Musical,Romance",nm0076779,"['nm0552756', 'nm0694090', 'nm0002149', 'nm0102787', 'nm0884964']",6.2,228,nm0076779,Curtis Bernhardt
267855,tt3673494,Balgobin Bhagat,1996,Action,"nm3126471,nm1533565","['nm1686014', 'nm0595924', 'nm2264265', 'nm0659244', 'nm6434186']",8.0,7,nm3126471,Braj Bhushan
166899,tt10478420,His Bad Blood,2019,Drama,nm10695319,"['nm0913814', 'nm10762988']",5.4,9,nm10695319,Kôichirô Ôyama
209160,tt16057994,Plotagon's Jared: The Movie,2020,Animation,nm13121127,"['nm13121128', 'nm13121127', 'nm13121130', 'nm13121129', 'nm13121131']",7.7,34,nm13121127,Jared a Bryant
252277,tt28622760,Ado Deyyam Katha,2023,"Comedy,Horror",nm15130947,"['nm15130948', 'nm15130949', 'nm15130950']",7.0,1032,nm15130947,Nagamani Yedidi
286954,tt5545862,Missing You,2016,"Crime,Thriller",nm3774018,"['nm2987726', 'nm2175143', 'nm3701137', 'nm0644905', 'nm4771537']",6.7,1484,nm3774018,Hong-jin Mo
123463,tt0310715,Barbaros Hayrettin Pasa,1951,"Drama,History,War",nm1096835,"['nm0351372', 'nm0438705', 'nm0409922', 'nm1138678', 'nm0654805']",6.0,34,nm1096835,Baha Gelenbevi
90331,tt0183413,Crazy Women,1977,Drama,nm0140241,"['nm0140256', 'nm0131469', 'nm0543895', 'nm0116875', 'nm0102569']",4.5,25,nm0140241,Enrique Carreras
135303,tt0369898,"Afraid of Nothing, the Jobless King",1999,"Comedy,Romance",nm0530865,"['nm0991859', 'nm0504942', 'nm0467601', 'nm0498189', 'nm0422623']",5.7,57,nm0530865,Joe Ma
179436,tt1208728,Last Cowboy Standing,2009,Drama,nm1039438,"['nm2965543', 'nm2762369', 'nm2919325', 'nm2713223', 'nm0459244']",6.6,732,nm1039438,Zaida Bergroth
309082,tt8266452,Lev Yashin. Vratar moey mechty,2019,"Biography,Drama,Sport",nm0157362,"['nm2683714', 'nm6118851', 'nm0348888', 'nm0470385', 'nm1914593']",6.3,1002,nm0157362,Vasiliy Chiginskiy
305181,tt7674650,Teufelsmoor,2018,"Drama,Mystery,Thriller",nm2826206,"['nm0090882', 'nm0066763', 'nm8357152', 'nm6092496', 'nm0461283']",5.0,79,nm2826206,Brigitte Bertele
120159,tt0294685,Le Cid,2001,Music,nm0488108,"['nm0004881', 'nm1655881', 'nm4122130', 'nm0422615', 'nm3977811']",7.3,10,nm0488108,Brian Large
48161,tt0083314,Wanda Whips Wall Street,1982,"Adult,Comedy,Drama",nm0720757,"['nm0366573', 'nm0939843', 'nm0003501', 'nm0001237', 'nm0024427']",5.6,307,nm0720757,Larry Revene
241587,tt2430044,Joséphine,2013,"Comedy,Romance",nm0643130,"['nm0077622', 'nm0623854', 'nm3757235', 'nm2147000', 'nm1603574']",5.8,1553,nm0643130,Agnès Obadia
246284,tt26688466,Romantic Friction,2023,"Comedy,Romance",nm0649488,"['nm3030668', 'nm8719707', 'nm12941205', 'nm0878488', 'nm0168643']",5.4,149,nm0649488,Wendy Ord
304470,tt7583152,A Mother's Worst Fear,2018,Thriller,nm1714788,"['nm1640523', 'nm0005129', 'nm2585288', 'nm0002003', 'nm3267111']",4.4,238,nm1714788,Jared Cohn
9923,tt0029631,I Married for Love,1937,Comedy,nm0782804,"['nm0258806', 'nm0753567', 'nm0434097', 'nm0190771', 'nm0261982']",7.1,35,nm0782804,Steve Sekely
203356,tt15212810,Premam Poojyam,2021,Romance,nm12837545,"['nm5744672', 'nm12837546', 'nm3766040', 'nm7700878', 'nm0043199']",7.8,580,nm12837545,Raghavendra Bakki Sannegowda
