,tconst,primaryTitle,startYear,genres,directors,cast,averageRating,numVotes,main_dir,dirname
122047,tt0304076,Ghost of a Chance,2001,Drama,nm1100028,"['nm0157436', 'nm1167733', 'nm1270266', 'nm1066530', 'nm1163850']",5.9,187,nm1100028,Vangelis Seitanidis
309203,tt8289324,A Gentleman,2018,Drama,nm6526686,"['nm2997803', 'nm7591883', 'nm2808016', 'nm0264953', 'nm7417753']",7.8,6,nm6526686,Brock Davis Mitchell
94160,tt0194860,The Eye of Envy,1917,Drama,nm0408932,"['nm0928108', 'nm0611913', 'nm0188991', 'nm0861002', 'nm0413718']",6.1,38,nm0408932,Harrish Ingraham
59411,tt0099919,Kanalia,1991,"Action,Drama,History",nm0936600,"['nm0272295', 'nm0803446', 'nm0872214', 'nm0511277', 'nm0850494']",6.1,28,nm0936600,Tomasz Wiszniewski
245896,tt2654746,Living Neverland,2013,"Adventure,Documentary,Family",nm5192719,"['nm5192719', 'nm5490278']",5.8,12,nm5192719,Wendell Charles NeSmith
267758,tt3666082,Goofy's Guide to Success,1990,"Animation,Comedy,Family",nm0166949,"['nm0173416', 'nm0000370', 'nm0621699', 'nm0267724']",7.0,17,nm0166949,Zilla Clinton
19857,tt0044041,El sistema Pelegrín,1952,Comedy,nm0409757,"['nm0273178', 'nm0207894', 'nm0650805', 'nm0598603', 'nm0209664']",6.1,63,nm0409757,Ignacio F. Iquino
100182,tt0216399,Wanted Sabata,1970,"Action,Thriller,Western",nm0561089,"['nm0364490', 'nm0439371', 'nm0669841', 'nm0491701', 'nm0757384']",5.2,84,nm0561089,Roberto Mauri
174972,tt1147525,Doraemon: Nobita's Version of Saiyuki,1988,"Adventure,Animation,Family",nm1167622,"['nm0645219', 'nm0644947', 'nm0634595', 'nm0454049', 'nm0851218']",6.9,488,nm1167622,Tsutomu Shibayama
251130,tt28265367,Keluarga Iskandar the Movie,2020,"Adventure,Comedy,Family",nm2056935,"['nm4204378', 'nm3991574', 'nm8816339', 'nm0837806', 'nm2886155']",7.8,8,nm2056935,Wan Hasliza Wan Zainuddin
113447,tt0269509,Malfunction,2001,\N,nm0290281,"['nm0859824', 'nm0561676', 'nm0860873', 'nm0258633', 'nm0800005']",9.2,19,nm0290281,Paul Francis
306673,tt7899844,Sarshakh,2009,Drama,nm9567738,"['nm3432692', 'nm0997881', 'nm2780398', 'nm7494721', 'nm1475772']",6.0,20,nm9567738,Mahmoud Moazzemi
103786,tt0233251,Attrazione d'amore,1998,Documentary,nm0770496,"['nm0539459', 'nm1185621', 'nm0855561']",8.0,8,nm0770496,Frank Scheffer
267010,tt3602210,Konthayum Poonoolum,2014,"Drama,Romance",nm6363740,"['nm1695513', 'nm2778406', 'nm0090283', 'nm3557375', 'nm1428724']",5.6,76,nm6363740,Jijo Antony
75927,tt0131515,Oscenità,1980,"Adult,Drama",nm0689838,"['nm0712248', 'nm0744270', 'nm0833425', 'nm1211237', 'nm0340568']",4.4,226,nm0689838,Renato Polselli
203604,tt15243622,Killer Cover Up,2021,Thriller,nm0739117,"['nm0919258', 'nm7220144', 'nm8199556', 'nm11123715', 'nm2052594']",5.1,165,nm0739117,Damián Romay
68402,tt0114663,Three Wishes,1995,"Drama,Family,Fantasy",nm0004838,"['nm0000664', 'nm0001512', 'nm0001515', 'nm0612622', 'nm0335344']",6.1,3297,nm0004838,Martha Coolidge
141602,tt0408060,1,2009,"Sci-Fi,Thriller",nm1637859,"['nm0610904', 'nm0802463', 'nm0617225', 'nm2200755', 'nm1565908']",6.0,544,nm1637859,Pater Sparrow
232761,tt21956982,Stay with Us,2022,Comedy,nm0255362,"['nm0255362', 'nm6888511', 'nm2008826', 'nm7969354', 'nm0758161']",5.9,438,nm0255362,Gad Elmaleh
